# git_commit=5c7a646-dirty; timestamp=2026-06-05T21:51:41; bin_width_ns=20; bin_offset_ns=0; baseline_mode=RECIRC; host=debian
bin_lo_ns,bin_hi_ns,count_dut,count_base
0,20,5043786811,1130860
20,40,13,0
40,60,27,0
60,80,28,0
80,100,30,0
100,120,36,0
120,140,36,0
140,160,26,0
160,180,35,0
180,200,36,0
200,220,56,0
220,240,35,0
240,260,45,0
260,280,42,0
280,300,44,0
300,320,53,0
320,340,46,0
340,360,75,0
360,380,70,0
380,400,76,0
400,420,79,0
420,440,70,0
440,460,80,0
460,480,60,0
480,500,88,0
500,520,78,0
520,540,95,0
540,560,105,0
560,580,107,0
580,600,102,0
600,620,109,0
620,640,119,27
640,660,137,1933194576
660,680,134,1794403
680,700,146,4
700,720,142,0
720,740,135,0
740,760,152,0
760,780,153,0
780,800,146,0
800,820,160,0
820,840,171,0
840,860,169,0
860,880,162,0
880,900,164,0
900,920,171,0
920,940,187,0
940,960,202,0
960,980,224,0
980,1000,214,0
1000,1020,198,0
1020,1040,184,0
1040,1060,211,0
1060,1080,217,0
1080,1100,220,0
1100,1120,247,0
1120,1140,243,0
1140,1160,241,0
1160,1180,234,0
1180,1200,240,0
1200,1220,253,0
1220,1240,266,0
1240,1260,274,0
1260,1280,283,0
1280,1300,275,0
1300,1320,263,0
1320,1340,283,0
1340,1360,307,0
1360,1380,322,0
1380,1400,331,0
1400,1420,297,0
1420,1440,330,0
1440,1460,301,0
1460,1480,305,0
1480,1500,320,0
1500,1520,308,0
1520,1540,344,0
1540,1560,298,0
1560,1580,340,0
1580,1600,342,0
1600,1620,325,0
1620,1640,362,0
1640,1660,379,0
1660,1680,379,0
1680,1700,370,0
1700,1720,358,0
1720,1740,378,0
1740,1760,375,0
1760,1780,387,0
1780,1800,396,0
1800,1820,410,0
1820,1840,358,0
1840,1860,368,0
1860,1880,428,0
1880,1900,382,0
1900,1920,382,0
1920,1940,418,0
1940,1960,422,0
1960,1980,427,0
1980,2000,425,0
2000,2020,413,0
2020,2040,429,0
2040,2060,416,0
2060,2080,431,0
2080,2100,438,0
2100,2120,432,0
2120,2140,463,0
2140,2160,455,0
2160,2180,444,0
2180,2200,457,0
2200,2220,458,0
2220,2240,436,0
2240,2260,473,0
2260,2280,500,0
2280,2300,454,0
2300,2320,428,0
2320,2340,508,0
2340,2360,425,0
2360,2380,489,0
2380,2400,466,0
2400,2420,442,0
2420,2440,466,0
2440,2460,470,0
2460,2480,456,0
2480,2500,485,0
2500,2520,499,0
2520,2540,495,0
2540,2560,529,0
