# git_commit=23c1163-dirty; timestamp=2026-06-05T17:33:05; bin_width_ns=20; bin_offset_ns=0; baseline_mode=RECIRC; host=debian
bin_lo_ns,bin_hi_ns,count_dut,count_base
0,20,13846007,560127
20,40,0,0
40,60,0,0
60,80,0,0
80,100,0,0
100,120,0,0
120,140,0,0
140,160,0,0
160,180,0,0
180,200,0,0
200,220,0,0
220,240,0,0
240,260,0,0
260,280,0,0
280,300,0,0
300,320,0,0
320,340,0,0
340,360,0,0
360,380,0,0
380,400,0,0
400,420,0,0
420,440,0,0
440,460,0,0
460,480,0,0
480,500,0,0
500,520,0,0
520,540,0,0
540,560,0,0
560,580,0,0
580,600,0,0
600,620,0,0
620,640,0,0
640,660,0,65574167
660,680,0,54243
680,700,0,0
700,720,0,0
720,740,0,0
740,760,0,0
760,780,0,0
780,800,0,0
800,820,0,0
820,840,0,0
840,860,0,0
860,880,0,0
880,900,0,0
900,920,0,0
920,940,0,0
940,960,0,0
960,980,0,0
980,1000,0,0
1000,1020,0,0
1020,1040,0,0
1040,1060,0,0
1060,1080,0,0
1080,1100,0,0
1100,1120,0,0
1120,1140,0,0
1140,1160,0,0
1160,1180,0,0
1180,1200,0,0
1200,1220,0,0
1220,1240,0,0
1240,1260,0,0
1260,1280,0,0
1280,1300,0,0
1300,1320,0,0
1320,1340,0,0
1340,1360,0,0
1360,1380,0,0
1380,1400,0,0
1400,1420,0,0
1420,1440,0,0
1440,1460,0,0
1460,1480,0,0
1480,1500,0,0
1500,1520,0,0
1520,1540,0,0
1540,1560,0,0
1560,1580,0,0
1580,1600,0,0
1600,1620,110,0
1620,1640,572649004,0
1640,1660,66904476,0
1660,1680,619,0
1680,1700,0,0
1700,1720,0,0
1720,1740,0,0
1740,1760,0,0
1760,1780,0,0
1780,1800,0,0
1800,1820,0,0
1820,1840,0,0
1840,1860,0,0
1860,1880,0,0
1880,1900,0,0
1900,1920,0,0
1920,1940,0,0
1940,1960,0,0
1960,1980,0,0
1980,2000,0,0
2000,2020,0,0
2020,2040,0,0
2040,2060,0,0
2060,2080,0,0
2080,2100,0,0
2100,2120,0,0
2120,2140,0,0
2140,2160,0,0
2160,2180,0,0
2180,2200,0,0
2200,2220,0,0
2220,2240,0,0
2240,2260,0,0
2260,2280,0,0
2280,2300,0,0
2300,2320,0,0
2320,2340,0,0
2340,2360,0,0
2360,2380,0,0
2380,2400,0,0
2400,2420,0,0
2420,2440,0,0
2440,2460,0,0
2460,2480,0,0
2480,2500,0,0
2500,2520,0,0
2520,2540,0,0
2540,2560,0,0
