# git_commit=5c7a646-dirty; timestamp=2026-06-05T21:53:08; bin_width_ns=20; bin_offset_ns=0; baseline_mode=RECIRC; host=debian
bin_lo_ns,bin_hi_ns,count_dut,count_base
0,20,5578970699,1130860
20,40,18,0
40,60,29,0
60,80,29,0
80,100,34,0
100,120,38,0
120,140,39,0
140,160,27,0
160,180,39,0
180,200,43,0
200,220,62,0
220,240,44,0
240,260,50,0
260,280,49,0
280,300,56,0
300,320,64,0
320,340,54,0
340,360,86,0
360,380,77,0
380,400,84,0
400,420,92,0
420,440,80,0
440,460,94,0
460,480,70,0
480,500,104,0
500,520,94,0
520,540,109,0
540,560,115,0
560,580,124,0
580,600,122,0
600,620,132,0
620,640,141,29
640,660,169,2137940418
660,680,156,1983676
680,700,173,4
700,720,168,0
720,740,165,0
740,760,179,0
760,780,198,0
780,800,177,0
800,820,201,0
820,840,207,0
840,860,205,0
860,880,200,0
880,900,204,0
900,920,208,0
920,940,222,0
940,960,237,0
960,980,260,0
980,1000,248,0
1000,1020,234,0
1020,1040,235,0
1040,1060,250,0
1060,1080,258,0
1080,1100,256,0
1100,1120,295,0
1120,1140,285,0
1140,1160,280,0
1160,1180,282,0
1180,1200,291,0
1200,1220,306,0
1220,1240,320,0
1240,1260,321,0
1260,1280,336,0
1280,1300,317,0
1300,1320,306,0
1320,1340,329,0
1340,1360,354,0
1360,1380,370,0
1380,1400,382,0
1400,1420,340,0
1420,1440,389,0
1440,1460,351,0
1460,1480,356,0
1480,1500,365,0
1500,1520,352,0
1520,1540,403,0
1540,1560,354,0
1560,1580,393,0
1580,1600,404,0
1600,1620,384,0
1620,1640,434,0
1640,1660,453,0
1660,1680,446,0
1680,1700,442,0
1700,1720,424,0
1720,1740,450,0
1740,1760,449,0
1760,1780,450,0
1780,1800,453,0
1800,1820,468,0
1820,1840,427,0
1840,1860,426,0
1860,1880,488,0
1880,1900,441,0
1900,1920,443,0
1920,1940,479,0
1940,1960,480,0
1960,1980,493,0
1980,2000,495,0
2000,2020,481,0
2020,2040,498,0
2040,2060,477,0
2060,2080,492,0
2080,2100,500,0
2100,2120,508,0
2120,2140,532,0
2140,2160,535,0
2160,2180,530,0
2180,2200,555,0
2200,2220,529,0
2220,2240,510,0
2240,2260,563,0
2260,2280,569,0
2280,2300,534,0
2300,2320,517,0
2320,2340,605,0
2340,2360,513,0
2360,2380,582,0
2380,2400,537,0
2400,2420,520,0
2420,2440,563,0
2440,2460,558,0
2460,2480,537,0
2480,2500,567,0
2500,2520,585,0
2520,2540,574,0
2540,2560,640,0
